id,datenstand,resolution
2625_1202,"2021","10"
2625_1203,"2021","10"
2625_1204,"2021","10"
2625_1205,"2021","10"
2625_1206,"2021","10"
2626_1157,"2021","25"
2626_1158,"2021","25"
2626_1159,"2021","25"
2626_1160,"2021","25"
2626_1161,"2021","25"
2626_1162,"2021","25"
2626_1163,"2021","25"
2626_1164,"2021","25"
2626_1165,"2021","10"
2626_1166,"2021","10"
2626_1167,"2021","10"
2626_1168,"2021","10"
2626_1169,"2021","10"
2626_1170,"2021","10"
2626_1171,"2021","10"
2626_1172,"2021","10"
2626_1173,"2021","10"
2626_1174,"2021","10"
2626_1175,"2021","10"
2626_1176,"2021","10"
2626_1177,"2021","10"
2626_1178,"2021","10"
2626_1179,"2021","10"
2626_1180,"2021","10"
2626_1181,"2021","10"
2626_1182,"2021","10"
2626_1183,"2021","10"
2626_1184,"2021","10"
2626_1185,"2021","10"
2626_1186,"2021","10"
2626_1187,"2021","10"
2626_1188,"2021","10"
2626_1189,"2021","10"
2626_1190,"2021","10"
2626_1191,"2021","10"
2626_1192,"2021","10"
2626_1193,"2021","10"
2626_1194,"2021","10"
2626_1195,"2021","10"
2626_1196,"2021","10"
2626_1197,"2021","10"
2626_1198,"2021","10"
2626_1199,"2021","10"
2626_1200,"2021","10"
2626_1201,"2021","10"
2626_1202,"2021","10"
2626_1203,"2021","10"
2626_1204,"2021","10"
2626_1205,"2021","10"
2626_1206,"2021","10"
2627_1157,"2021","25"
2627_1158,"2021","25"
2627_1159,"2021","25"
2627_1160,"2021","25"
2627_1161,"2021","25"
2627_1162,"2021","25"
2627_1163,"2021","25"
2627_1164,"2021","25"
2627_1165,"2021","10"
2627_1166,"2021","10"
2627_1167,"2021","10"
2627_1168,"2021","10"
2627_1169,"2021","10"
2627_1170,"2021","10"
2627_1171,"2021","10"
2627_1172,"2021","10"
2627_1173,"2021","10"
2627_1174,"2021","10"
2627_1175,"2021","10"
2627_1176,"2021","10"
2627_1177,"2021","10"
2627_1178,"2021","10"
2627_1179,"2021","10"
2627_1180,"2021","10"
2627_1181,"2021","10"
2627_1182,"2021","10"
2627_1183,"2021","10"
2627_1184,"2021","10"
2627_1185,"2021","10"
2627_1186,"2021","10"
2627_1187,"2021","10"
2627_1188,"2021","10"
2627_1189,"2021","10"
2627_1190,"2021","10"
2627_1191,"2021","10"
2627_1192,"2021","10"
2627_1193,"2021","10"
2627_1194,"2021","10"
2627_1195,"2021","10"
2627_1196,"2021","10"
2627_1197,"2021","10"
2627_1198,"2021","10"
2627_1199,"2021","10"
2627_1200,"2021","10"
2627_1201,"2021","10"
2627_1202,"2021","10"
2627_1203,"2021","10"
2627_1204,"2021","10"
2627_1205,"2021","10"
2627_1206,"2021","10"
2628_1157,"2021","25"
2628_1158,"2021","25"
2628_1159,"2021","25"
2628_1160,"2021","25"
2628_1161,"2021","25"
2628_1162,"2021","25"
2628_1163,"2021","25"
2628_1164,"2021","25"
2628_1165,"2021","10"
2628_1166,"2021","10"
2628_1167,"2021","10"
2628_1168,"2021","10"
2628_1169,"2021","10"
2628_1170,"2021","10"
2628_1171,"2021","10"
2628_1172,"2021","10"
2628_1173,"2021","10"
2628_1174,"2021","10"
2628_1175,"2021","10"
2628_1176,"2021","10"
2628_1177,"2021","10"
2628_1178,"2021","10"
2628_1179,"2021","10"
2628_1180,"2021","10"
2628_1181,"2021","10"
2628_1182,"2021","10"
2628_1183,"2021","10"
2628_1184,"2021","10"
2628_1185,"2021","10"
2628_1186,"2021","10"
2628_1187,"2021","10"
2628_1188,"2021","10"
2628_1189,"2021","10"
2628_1190,"2021","10"
2628_1191,"2021","10"
2628_1192,"2021","10"
2628_1193,"2021","10"
2628_1194,"2021","10"
2628_1195,"2021","10"
2628_1196,"2021","10"
2628_1197,"2021","10"
2628_1198,"2021","10"
2628_1199,"2021","10"
2628_1200,"2021","10"
2628_1201,"2021","10"
2628_1202,"2021","10"
2628_1203,"2021","10"
2628_1204,"2021","10"
2628_1205,"2021","10"
2628_1206,"2021","10"
2629_1157,"2021","25"
2629_1158,"2021","25"
2629_1159,"2021","25"
2629_1160,"2021","25"
2629_1161,"2021","25"
2629_1162,"2021","25"
2629_1163,"2021","25"
2629_1164,"2021","10"
2629_1165,"2021","10"
2629_1166,"2021","10"
2629_1167,"2021","10"
2629_1168,"2021","10"
2629_1169,"2021","10"
2629_1170,"2021","10"
2629_1171,"2021","10"
2629_1172,"2021","10"
2629_1173,"2021","10"
2629_1174,"2021","10"
2629_1175,"2021","10"
2629_1176,"2021","10"
2629_1177,"2021","10"
2629_1178,"2021","10"
2629_1179,"2021","10"
2629_1180,"2021","10"
2629_1181,"2021","10"
2629_1182,"2021","10"
2629_1183,"2021","10"
2629_1184,"2021","10"
2629_1185,"2021","10"
2629_1186,"2021","10"
2629_1187,"2021","10"
2629_1188,"2021","10"
2629_1189,"2021","10"
2629_1190,"2021","10"
2629_1191,"2021","10"
2629_1192,"2021","10"
2629_1193,"2021","10"
2629_1194,"2021","10"
2629_1195,"2021","10"
2629_1196,"2021","10"
2629_1197,"2021","10"
2629_1198,"2021","10"
2629_1199,"2021","10"
2629_1200,"2021","10"
2629_1201,"2021","10"
2629_1202,"2021","10"
2629_1203,"2021","10"
2629_1204,"2021","10"
2629_1205,"2021","10"
2629_1206,"2021","10"
2630_1157,"2021","25"
2630_1158,"2021","25"
2630_1159,"2021","25"
2630_1160,"2021","25"
2630_1161,"2021","25"
2630_1162,"2021","25"
2630_1163,"2021","25"
2630_1164,"2021","10"
2630_1165,"2021","10"
2630_1166,"2021","10"
2630_1167,"2021","10"
2630_1168,"2021","10"
2630_1169,"2021","10"
2630_1170,"2021","10"
2630_1171,"2021","10"
2630_1172,"2021","10"
2630_1173,"2021","10"
2630_1174,"2021","10"
2630_1175,"2021","10"
2630_1176,"2021","10"
2630_1177,"2021","10"
2630_1178,"2021","10"
2630_1179,"2021","10"
2630_1180,"2021","10"
2630_1181,"2021","10"
2630_1182,"2021","10"
2630_1183,"2021","10"
2630_1184,"2021","10"
2630_1185,"2021","10"
2630_1186,"2021","10"
2630_1187,"2021","10"
2630_1188,"2021","10"
2630_1189,"2021","10"
2630_1190,"2021","10"
2630_1191,"2021","10"
2630_1192,"2021","10"
2630_1193,"2021","10"
2630_1194,"2021","10"
2630_1195,"2021","10"
2630_1196,"2021","10"
2630_1197,"2021","10"
2630_1198,"2021","10"
2630_1199,"2021","10"
2630_1200,"2021","10"
2630_1201,"2021","10"
2630_1202,"2021","10"
2630_1203,"2021","10"
2630_1204,"2021","10"
2630_1205,"2021","10"
2630_1206,"2021","10"
2631_1157,"2021","25"
2631_1158,"2021","25"
